59,59.2,56.75,58.42
60,59.65,57.4,59.14
61,60.15,58.21,59.49
62,57.41,55.05,56.71
63,58.41,55.79,57.39
64,58.48,56.36,57.99
65,58.04,55.46,57.18
66,57.98,55.02,56.44
67,60.56,57.53,59.18
68,61.27,58.3,59.95
69,61.29,58.07,60.09
70,61.38,58.41,60.36
71,61.31,58.51,60.12
72,59.53,56.64,58.03
73,58.48,56.13,57.3
74,57.84,55.41,56.91
75,59.22,56.8,58.14
76,59.93,57.72,59.18
77,62.85,60.46,61.92
78,60.91,58.71,59.83
79,57.03,54.54,55.84
80,59.22,56.81,58.22
81,59.42,57.08,58.52
82,60.76,58.32,59.67
83,59.62,57.12,58.67
84,56.97,54.48,55.74
85,60.07,57.38,58.81
86,58.61,55.99,57.21
87,59.99,57.1,58.44
88,58.25,55.59,56.82
89,59.56,56.78,57.94
90,60.53,57,58.51
91,59.22,55.39,56.78
92,59.3,55.15,56.66
93,61.03,57.05,58.63
94,60.17,56.69,58.01
95,61.74,58.47,59.68
96,61.26,57.46,58.86
97,57.64,54.1,55.59
98,58.96,55.46,56.89
99,56.63,53.53,54.69
100,59.01,55.5,56.74
101,57.68,54.26,55.51
102,56.74,53.43,54.34
103,57.78,54.36,55.51
104,59.17,55.8,57.04
105,58.38,55.02,56.33
106,57.53,55.52,56.65
107,59.81,57.83,58.93
108,60.7,58.68,59.93
109,62,60.08,61.29
110,60.25,58.19,59.42
111,58.26,56.12,57.19
112,59.78,57.96,59.1
113,57.63,56.07,56.96
114,58.22,56.37,57.45
115,56.57,54.53,55.8
116,52.53,50.36,51.56
117,53.86,51.86,52.75
118,55.41,53.36,54.35
119,55.64,53.84,54.76
120,56.94,55.22,56.06
121,57.4,55.71,56.86
122,58.41,55.67,56.45
123,57.07,54.21,55.32
124,58.52,55.83,56.63
125,57.99,55.12,56.02
126,56.99,54.02,54.88
127,55.42,52.67,53.52
128,57.3,54.37,55.16
129,57.8,54.73,55.7
130,58.36,55.47,56.5
131,58.93,55.7,56.55
132,59.01,55.94,56.81
133,61.36,58.16,59.16
134,61.32,58.46,59.44
135,55.89,52.8,53.73
136,55.15,52.02,52.88
137,57.23,54.05,54.7
138,60.36,57.62,58.49
139,59.5,56.86,57.72
140,58.66,55.38,56.4
141,58.69,55.62,56.54
142,57.66,54.75,55.66
143,58.99,55.75,56.66
