199,44.75,42.07,38.94,99.75,2.68
200,43.8,41.4,38.17,99.57,2.4
201,45.06,42.74,39.17,99.68,2.32
202,44.07,41.54,38.28,99.69,2.53
203,41.94,39.55,36.12,99.66,2.39
204,41.86,39.1,35.8,99.82,2.76
205,42.8,40.09,36.52,99.62,2.71
206,40.25,37.22,33.94,99.68,3.03
207,39.24,36.3,33.31,99.76,2.94
208,40.04,37.31,33.91,99.64,2.73
209,42.97,40.39,37.01,99.53,2.58
210,42.5,39.83,36.46,99.72,2.67
211,43.96,41.58,37.89,99.73,2.38
212,42.37,39.6,36.49,99.76,2.77
213,42.21,39.72,36.42,99.7,2.49
214,44.52,42.2,38.66,99.57,2.32
215,42.97,40.6,36.92,99.71,2.37
216,42.37,39.89,36.55,99.79,2.48
217,39.96,37.32,34.46,99.66,2.64
218,40.96,38.43,35.35,99.63,2.53
219,42.37,39.8,36.46,99.62,2.57
220,44,41.6,38.32,99.65,2.4
221,45.49,43.09,39.74,99.58,2.4
222,42.81,40.46,37.1,99.65,2.35
223,41.97,39.42,36.29,99.58,2.55
224,40.08,37.44,34.38,99.62,2.64
225,38.87,36.23,33.09,99.69,2.64
226,44.56,42.24,39,99.65,2.32
227,43.49,41.06,37.78,99.55,2.43
228,40.36,38.19,34.84,99.75,2.17
229,41.66,39.55,36.28,99.69,2.11
230,44.83,42.92,39.33,99.66,1.91
231,39.94,37.96,34.71,99.22,1.98
232,44.1,41.93,38.7,99.53,2.17
233,39.99,37.81,34.53,99.56,2.18
234,37.33,35.06,31.94,99.53,2.27
235,39.36,36.7,33.67,99.76,2.66
236,35.86,33.11,30.13,99.79,2.75
237,42.39,40.41,37.18,99.68,1.98
238,41.04,38.94,35.44,99.65,2.1
239,38.74,36.21,33.02,99.64,2.53
240,37.32,35.47,32.11,99.65,1.85
241,42.01,39.99,36.69,99.59,2.02
242,42.76,40.85,37.36,99.71,1.91
243,40.83,38.61,35.29,99.67,2.22
244,44.19,42.03,38.34,99.73,2.16
245,42.39,40.52,37.3,99.76,1.87
246,41.43,39.1,35.91,99.75,2.33
247,40.23,38.33,35.61,99.72,1.9
248,39.87,37.68,34.58,99.69,2.19
249,41.04,38.72,35.58,99.63,2.32
250,42.06,40.08,36.66,99.75,1.98
251,45.06,43.19,39.73,99.65,1.87
252,40.87,38.31,35.26,99.74,2.56
253,39.14,36.87,33.8,99.76,2.27
254,44.22,42.13,38.75,99.72,2.09
255,42.76,40.52,37.14,99.67,2.24
256,41.94,39.54,36.48,99.78,2.40001
257,41.29,39,35.74,99.59,2.29
258,40.82,38.87,35.62,99.64,1.95
259,38.83,36.21,33.11,99.81,2.62
260,39.61,37.37,34.49,99.77,2.24
261,40.63,37.87,34.53,99.83,2.76
262,45.24,43.42,39.73,99.57,1.82
263,39.85,38.03,34.71,99.62,1.82
264,40.69,38.57,35.21,99.65,2.12
265,41.64,39.45,36.07,99.8,2.19
266,37.52,35.11,32.06,99.79,2.41
267,42.06,39.8,36.47,99.71,2.26
268,42.94,40.44,36.97,99.73,2.5
269,45.16,43.04,39.6,99.74,2.12
270,42.1,39.83,36.32,99.66,2.27
271,40.78,38.48,35.28,99.76,2.3
272,45.01,43,39.48,99.85,2.01
273,41.58,39.4,36.33,99.67,2.18
274,43.95,41.82,38.5,99.69,2.13
275,41.35,38.75,35.61,99.81,2.6
276,42.26,39.83,36.64,99.85,2.43
277,44.05,41.77,38.35,99.67,2.28
278,39.66,37.61,34.28,99.78,2.05
279,41.89,39.54,36.31,99.77,2.35
280,42.83,40.69,37.44,99.71,2.14
281,44.51,42.41,39.18,99.55,2.1
282,42.66,40.18,36.64,99.79,2.48
283,42.67,40.52,37.15,99.76,2.15
284,41.12,38.92,35.68,99.75,2.2
285,45.08,42.57,39.09,99.81,2.51
286,40.82,38.26,35.36,99.73,2.56
287,43.74,41.32,38.03,99.55,2.42
288,40.89,38.54,35.44,99.71,2.35
289,41.52,39.15,35.89,99.69,2.37
290,42.02,39.59,36.4,99.72,2.43
291,44.07,41.79,38.56,99.66,2.28
292,45.15,42.66,39.05,99.74,2.49
293,45.37,43.26,39.64,99.74,2.11
294,43.61,41.38,37.83,99.8,2.23
295,42.75,40.09,36.81,99.75,2.66
296,44.45,42.03,38.91,99.8,2.42
297,42.49,39.86,36.36,99.62,2.63
298,42.04,39.91,36.44,99.78,2.13
299,42.89,40.61,37.23,99.7,2.28
300,38.87,36.08,33.1,99.82,2.79
301,39,36.04,33.26,99.84,2.96
302,43.04,40.51,37.01,99.84,2.53
303,43.03,40.76,37.58,99.7,2.27
304,40.72,38.23,34.97,99.7,2.49
305,37.57,34.9,31.94,99.81,2.67
306,41.32,38.76,35.64,99.71,2.56
307,45.83,43.51,40.41,99.65,2.32
308,45.17,42.8,39.21,99.81,2.37
309,42.23,40.15,36.68,99.81,2.08
310,43.37,40.91,37.36,99.75,2.46
311,41.94,39.35,36.43,99.85,2.59
312,40.55,37.94,34.69,99.87,2.61
313,39.99,37.48,34.25,99.74,2.51
314,41.24,38.85,35.68,99.82,2.39
315,42.58,39.79,36.67,99.77,2.79
316,41.95,39.31,36.12,99.83,2.64
317,41.32,38.96,35.78,99.77,2.36
318,41.14,38.62,35.5,99.84,2.52
319,40.23,37.46,34.42,99.63,2.77
320,42.15,39.74,36.46,99.83,2.41
321,42.95,40.54,37.03,99.76,2.41
322,40.69,38.26,35.12,99.73,2.43
323,42.77,40.35,36.94,99.71,2.42
324,39.18,36.59,33.49,99.67,2.59
325,40.49,38.18,34.72,99.79,2.31
326,40.33,37.98,34.88,99.9,2.35
327,42.3,39.84,36.56,99.77,2.46
328,43.06,40.64,36.94,99.77,2.42
329,39.8,37.11,34.06,99.81,2.69
330,36.92,34.18,31.11,99.73,2.74
331,41.18,38.7,35.35,99.82,2.48
332,40.82,38.39,35.23,99.85,2.43
333,44.3,41.92,38.72,99.88,2.38
334,41.91,39.54,36.49,99.85,2.37
335,41.42,38.94,35.78,99.83,2.48
336,41.78,39.35,36.12,98.64,2.43
337,42.99,40.61,37.47,98.47,2.38
338,44.18,42.17,38.73,99.02,2.01
339,41.12,38.75,35.79,99.76,2.37
340,40.48,38.27,34.91,99.75,2.21
341,42.25,40.14,36.68,99.76,2.11
342,40.79,38.55,35.66,99.77,2.24
343,41.05,38.93,35.82,99.83,2.12
344,42.44,40.66,37.33,99.8,1.78
345,42.03,39.98,36.56,99.76,2.05
346,39.29,36.87,33.57,99.82,2.42
347,42.09,40.24,36.62,99.75,1.85
